id,url,headline,author,date
0,https://www.theverge.com/2022/4/11/23019960/youtube-premium-picture-in-picture-test-ended-april-8,YouTube ends picture-in-picture iOS test for Premium subscribers,Jon Porter,2022-04-11
1,https://www.theverge.com/2022/4/10/23019802/elon-musk-not-joining-twitter-board-announced,Elon Musk won’t join Twitter’s board after all,Sam Byford,2022-04-10
2,https://www.theverge.com/2022/4/10/23019235/playstation-digital-games-ps3-ps-vita-expiring-sony-chrono-trigger,Digital PS3 and PS Vita games rendered unplayable after ‘expiring’,Emma Roth,2022-04-10
3,https://www.theverge.com/2022/4/10/23019303/heres-what-happens-cops-pull-over-a-driverless-cruise-vehicle-general-motors,Here’s what happens when cops pull over a driverless Cruise vehicle,Emma Roth,2022-04-10
4,https://www.theverge.com/2022/4/10/23019046/meta-no-longer-allow-private-residential-address-doxxing-facebook-instagram-oversight-board,Meta will no longer allow the sharing of ‘publicly available’ private home addresses,Emma Roth,2022-04-10
5,https://www.theverge.com/2022/4/10/23018977/kingdom-hearts-iv-announced-20th-anniversary-event-square-enix,Kingdom Hearts IV announced at 20th anniversary event,Emma Roth,2022-04-10
6,https://www.theverge.com/2022/4/9/23018258/microsoft-control-russian-domains-ukraine-war-cyberattack-fancy-bear-apt28-strontium,Microsoft seized Russian domains targeting Ukrainian media organizations,Emma Roth,2022-04-09
7,https://www.theverge.com/2022/4/9/23018126/twitter-reverts-change-left-blank-spaces-websites-embedded-tweets,Twitter reverts change that left blank spaces in place of deleted embedded tweets,Emma Roth,2022-04-09
8,https://www.theverge.com/2022/4/9/23017927/apple-tv-plus-friday-night-baseball-debut-mlb-fans-disappointed,Apple TV Plus’ Friday Night Baseball debut wasn’t the homerun fans expected,Emma Roth,2022-04-09
9,https://www.theverge.com/23017361/ifixit-right-to-repair-parts-google-samsung-valve-microsoft,The era of fixing your own phone has nearly arrived,Sean Hollister,2022-04-09
